Queue,Average Resolution Time (days)
ANML02_LostFound,0.9598090277777778
ANML_General,3.2859574709513435
BHA_General,113.52279411764707
BPD_Administrative,21.395699074074074
BPD_Districts,56.265504850088185
BPS_Administrative,200.0976132856341
BPS_Transportation Administration,82.3198019304682
BTDT_AVRS Interface Queue,51.90443001028637
BTDT_Abandoned Bicycle,293.1154403334088
BTDT_Administration,81.22492469237329
BTDT_BostonBikes,277.64589078323064
BTDT_Broken Meter Complaints,24.961811750130412
BTDT_Complaint Against BTD Employee,59.053703703703704
BTDT_District 01,61.15700356805851
BTDT_District 02,56.93296843641671
BTDT_District 03,40.57873246199256
BTDT_District 04,43.8423182413499
BTDT_District 05,42.44365448782115
BTDT_District 06,34.883162567675654
BTDT_Engineering_New Sign and Pavement Marking Requests,222.36983253931382
BTDT_Engineering_Request for Traffic Signal Study or Review,83.27917784053511
BTDT_General Comments,32.17737168543128
BTDT_OPC_Phone Bank Service,84.24830069184353
BTDT_OPC_Walk-In Service,68.59215163308914
BTDT_Parking Enforcement,4.503939836463773
BTDT_Parking Lot_Municipal Parking Lot Complaints,112.75858808674985
BTDT_Parking Lot_PrivateParkingLotComplaints,111.55512251580849
BTDT_Parking Lot_Valet Parking Problems,39.20783622685185
BTDT_Pavement Marking_Maintenance,623.3102525690431
BTDT_Pavement Marking_Workorders from Engineering,1050.3339069804028
BTDT_Permits & Special Events,128.87629169732645
BTDT_Sign Repair,51.08791976686508
BTDT_Sign Shop Clerical,48.2479935515873
BTDT_Sign Shop_Sign Installation,27.554626461980334
BTDT_Traffic Signal_Graffiti,122.58883798926767
BTDT_Traffic Signal_Knock Downs/Contractor,19.38658368008697
BTDT_Traffic Signal_Repair,9.308184019843702
BWSC_All Cases,43.93738436397707
BWSC_Pothole,23.839362540056698
DISB_General_Request,326.118677501286
DISB_HP Sign,458.0071105568597
DND_General,195.19691223832527
ECON_OutdoorDining,14.370729166666669
GEN_Needle_Pickup,29.83222552910053
GRNi_Green_Infrastructure,28.564739583333335
INFO01_GenericeFormforOtherServiceRequestTypes,187.45319832485612
INFO02_SelfServiceGenericeFormforOtherServiceRequestTypes,5.531782407407408
"INFO03_Mobile ""Other"" Requests",1075.8811921296297
INFO05_Alert Boston,48.31520447530864
INFO09_Current Events,3.8927199074074075
INFO_Areaway,249.99101430976432
INFO_BPHC,56.43377893518518
INFO_Down Wire,304.0499189814815
INFO_Encampments,66.7974818762561
INFO_Eversource,1090.0739865194519
INFO_Gas_Odor_Leak,430.48521122685185
INFO_General Comments Complaints Compliments,137.60844187375037
INFO_Homeless Issue,18.481541280864196
INFO_HumanWaste,7.694586226851852
INFO_JC Decaux,35.12587894880174
INFO_Low Hanging Wire,741.5903622685184
INFO_MBTA,35.200560022742046
INFO_Mass DCR,1287.3625531877542
INFO_Mass DOT,955.8366191072648
INFO_Massport,89.12986111111111
INFO_Mayors Policy Office,865.8655339170692
INFO_Reallocation From Dept,56.75499635126426
INFO_USPS Issues,599.7886800108932
INFO_Unsheltered_Persons,24.772072460718295
ISD_Administrative,16.57570581990446
ISD_Building (INTERNAL),302.78574285307667
ISD_Electrical,41.732115899600586
ISD_Environmental Services (INTERNAL),124.03382383307029
ISD_Health (INTERNAL),5.927095454214057
ISD_Housing (INTERNAL),144.68983059299808
ISD_Housing_ShortTermRental,43.6344139451952
ISD_Plumbing,86.73650591563786
ISD_Weights and Measures (INTERNAL),57.91362343304843
No Queue Assigned To User,45.35486111111111
ONS_Charlestown,6.16761574074074
PARK_Administration,46.74684060637925
PARK_Carpentry,69.97502818106705
PARK_Cemetery Maintenance Request,108.91451404117934
PARK_Corporate or Community Group Service Day Clean Up,82.90251059322034
PARK_General Comments,93.99184455515298
PARK_Graffiti,40.50169076733955
PARK_Long Term Capital Improvement,565.646574074074
PARK_Maintenance_Ground Maintenance,26.900585016835016
PARK_Maintenance_Horticulture,18.291931360708535
PARK_Maintenance_Lighting Electrical,67.94073822742176
PARK_Maintenance_Region 1,6.6770329754482285
PARK_Maintenance_Region 2,19.52191127284718
PARK_Maintenance_Region 3,17.286149470513156
PARK_Maintenance_Region 4,6.9716465660338205
PARK_Maintenance_Region 5,9.894258901899695
PARK_Maintenance_Region 6,10.254452034883721
PARK_Maintenance_Support Services,4.728108984457046
PARK_Maintenance_Trades,77.01954834044791
