Queue,Neighborhood,Average Resolution Time (days)
ANML02_LostFound,Dorchester,1.919525462962963
ANML02_LostFound,Roxbury,9.259259259259259e-05
ANML_General,Allston / Brighton,0.6636111111111112
ANML_General,Boston,1.3547800925925926
ANML_General,Brighton,3.94591049382716
ANML_General,Charlestown,3.911045524691358
ANML_General,Dorchester,3.093792438271605
ANML_General,East Boston,1.9875434027777779
ANML_General,Fenway / Kenmore / Audubon Circle / Longwood,0.2566898148148148
ANML_General,Greater Mattapan,0.20042824074074073
ANML_General,Hyde Park,0.02966435185185185
ANML_General,Jamaica Plain,2.4979822530864197
ANML_General,Mattapan,3.260625
ANML_General,Mission Hill,2.6232118055555556
ANML_General,Roslindale,10.129699074074074
ANML_General,Roxbury,8.173195891203703
ANML_General,South Boston / South Boston Waterfront,0.2932314814814815
ANML_General,South End,1.1276851851851852
ANML_General,West Roxbury,2.5413233024691357
BHA_General,Allston / Brighton,182.70907407407407
BHA_General,Brighton,0.2425173611111111
BHA_General,Charlestown,12.123898533950618
BHA_General,Hyde Park,12.191574074074074
BHA_General,Jamaica Plain,46.07797222222222
BHA_General,Mission Hill,115.55669560185186
BHA_General,Roxbury,65.10214120370371
BHA_General,South Boston,52.00784722222222
BHA_General,South Boston / South Boston Waterfront,360.1428761574074
BHA_General,South End,423.2958159722222
BPD_Administrative,Boston,98.76211805555556
BPD_Administrative,Dorchester,5.891782407407407
BPD_Administrative,Mission Hill,1.069189814814815
BPD_Administrative,Roxbury,0.6277025462962963
BPD_Districts,Back Bay,3.4586574074074075
BPD_Districts,Boston,62.089305555555555
BPD_Districts,Charlestown,0.10800925925925926
BPD_Districts,Dorchester,67.95252443415637
BPD_Districts,Downtown / Financial District,6.994097222222222
BPD_Districts,East Boston,0.14228587962962963
BPD_Districts,Fenway / Kenmore / Audubon Circle / Longwood,1.9871990740740741
BPD_Districts,Greater Mattapan,0.05388888888888889
BPD_Districts,Hyde Park,15.426562499999998
BPD_Districts,Jamaica Plain,3.413881172839506
BPD_Districts,Roxbury,58.1726880787037
BPD_Districts,South Boston / South Boston Waterfront,189.23265432098768
BPD_Districts,West Roxbury,2.068252314814815
BPS_Administrative, ,4.310034722222222
BPS_Administrative,Allston,0.08724537037037038
BPS_Administrative,Brighton,0.2638773148148148
BPS_Administrative,Charlestown,154.13705632716048
BPS_Administrative,Dorchester,292.16420331790124
BPS_Administrative,Jamaica Plain,6.552255015432099
BPS_Administrative,Mission Hill,589.6919907407407
BPS_Administrative,Roslindale,1.364375
BPS_Administrative,Roxbury,473.4326765046296
BPS_Administrative,South Boston,0.14975694444444446
BPS_Administrative,South End,128.85998456790122
BPS_Administrative,West Roxbury,220.6603472222222
BPS_Transportation Administration, ,125.08541771885521
BPS_Transportation Administration,Allston / Brighton,40.85364583333333
BPS_Transportation Administration,Boston,263.99747685185184
BPS_Transportation Administration,Charlestown,137.09278935185185
BPS_Transportation Administration,Dorchester,85.35750289351851
BPS_Transportation Administration,Downtown / Financial District,21.159733796296297
BPS_Transportation Administration,East Boston,81.18273341049382
BPS_Transportation Administration,Greater Mattapan,5.4127777777777775
BPS_Transportation Administration,Hyde Park,101.63304398148148
BPS_Transportation Administration,Jamaica Plain,76.82401157407406
BPS_Transportation Administration,Mission Hill,50.16469907407407
BPS_Transportation Administration,Roslindale,13.614722222222222
BPS_Transportation Administration,Roxbury,0.27184799382716046
BPS_Transportation Administration,South Boston,192.10229166666667
BPS_Transportation Administration,South Boston / South Boston Waterfront,10.032453703703704
BPS_Transportation Administration,South End,6.132546296296296
BPS_Transportation Administration,West Roxbury,119.3828125
BTDT_AVRS Interface Queue, ,23.290527447089946
BTDT_AVRS Interface Queue,Allston,40.87401000330688
BTDT_AVRS Interface Queue,Allston / Brighton,38.488024333506125
BTDT_AVRS Interface Queue,Back Bay,65.24752369929453
BTDT_AVRS Interface Queue,Beacon Hill,162.11557489852865
BTDT_AVRS Interface Queue,Boston,105.68402973646724
BTDT_AVRS Interface Queue,Brighton,28.395632994463536
BTDT_AVRS Interface Queue,Charlestown,131.622532831984
BTDT_AVRS Interface Queue,Dorchester,44.48688663769967
BTDT_AVRS Interface Queue,Downtown / Financial District,153.89741453403636
BTDT_AVRS Interface Queue,East Boston,27.348408527236653
BTDT_AVRS Interface Queue,Fenway / Kenmore / Audubon Circle / Longwood,18.19918432454891
BTDT_AVRS Interface Queue,Greater Mattapan,39.729997651374646
BTDT_AVRS Interface Queue,Hyde Park,47.27253076614081
BTDT_AVRS Interface Queue,Jamaica Plain,91.18085486856391
BTDT_AVRS Interface Queue,Mattapan,50.02350292566873
BTDT_AVRS Interface Queue,Mission Hill,43.006697860207765
BTDT_AVRS Interface Queue,Roslindale,53.87291868568595
BTDT_AVRS Interface Queue,Roxbury,48.10636974661788
BTDT_AVRS Interface Queue,South Boston,55.2433668544724
BTDT_AVRS Interface Queue,South Boston / South Boston Waterfront,54.63568304573513
BTDT_AVRS Interface Queue,South End,26.271459220056748
BTDT_AVRS Interface Queue,Unknown,66.83688580246914
BTDT_AVRS Interface Queue,West Roxbury,52.144155380345815
BTDT_Abandoned Bicycle, ,254.07516975308644
BTDT_Abandoned Bicycle,Allston / Brighton,325.3144225363757
BTDT_Abandoned Bicycle,Back Bay,267.9466891947751
BTDT_Abandoned Bicycle,Beacon Hill,120.7331568287037
BTDT_Abandoned Bicycle,Boston,221.68966479700853
BTDT_Abandoned Bicycle,Brighton,8.004050925925926
BTDT_Abandoned Bicycle,Charlestown,441.52772472993826
BTDT_Abandoned Bicycle,Dorchester,262.40195671997753
BTDT_Abandoned Bicycle,Downtown / Financial District,322.54268310778724
BTDT_Abandoned Bicycle,East Boston,371.89257407407405
BTDT_Abandoned Bicycle,Fenway / Kenmore / Audubon Circle / Longwood,226.36877367424242
BTDT_Abandoned Bicycle,Greater Mattapan,73.11570987654322
BTDT_Abandoned Bicycle,Hyde Park,286.01109722222225
BTDT_Abandoned Bicycle,Jamaica Plain,199.42826736111112
BTDT_Abandoned Bicycle,Mission Hill,230.6017509920635
BTDT_Abandoned Bicycle,Roxbury,243.89088811728394
BTDT_Abandoned Bicycle,South Boston,380.04283757716047
BTDT_Abandoned Bicycle,South Boston / South Boston Waterfront,420.9942802579365
BTDT_Abandoned Bicycle,South End,243.75470572916666
BTDT_Abandoned Bicycle,Unknown,303.0251851851852
BTDT_Abandoned Bicycle,West Roxbury,705.2121180555556
BTDT_Administration, ,82.1960725308642
BTDT_Administration,Allston / Brighton,107.19154282407408
BTDT_Administration,Back Bay,23.74299884259259
BTDT_Administration,Beacon Hill,17.26305324074074
BTDT_Administration,Boston,126.04794881687242
BTDT_Administration,Brighton,122.01469328703703
BTDT_Administration,Charlestown,12.686039351851852
BTDT_Administration,Dorchester,61.76955568415638
BTDT_Administration,Downtown / Financial District,75.12511463844797
BTDT_Administration,East Boston,29.897453703703704
BTDT_Administration,Fenway / Kenmore / Audubon Circle / Longwood,23.356902777777776
BTDT_Administration,Greater Mattapan,20.694537037037037
BTDT_Administration,Hyde Park,4.945937499999999
BTDT_Administration,Jamaica Plain,299.67675035612535
BTDT_Administration,Mission Hill,31.193252314814814
BTDT_Administration,Roxbury,95.29128116096867
BTDT_Administration,South Boston / South Boston Waterfront,30.272797364672364
BTDT_Administration,South End,41.12271527777777
BTDT_Administration,West Roxbury,1.1741782407407408
BTDT_BostonBikes, ,189.73244012917237
BTDT_BostonBikes,Allston,207.12813657407406
BTDT_BostonBikes,Allston / Brighton,340.66890190972225
BTDT_BostonBikes,Back Bay,318.35977390180875
BTDT_BostonBikes,Beacon Hill,150.1656351273148
BTDT_BostonBikes,Boston,282.97907836076814
BTDT_BostonBikes,Brighton,166.07715277777777
BTDT_BostonBikes,Charlestown,336.51295965608466
BTDT_BostonBikes,Dorchester,228.67189351851852
BTDT_BostonBikes,Downtown / Financial District,267.23962028133906
BTDT_BostonBikes,East Boston,348.2690210262346
BTDT_BostonBikes,Fenway / Kenmore / Audubon Circle / Longwood,323.0264071403134
BTDT_BostonBikes,Greater Mattapan,260.8860773533951
BTDT_BostonBikes,Hyde Park,243.94561631944444
BTDT_BostonBikes,Jamaica Plain,349.32960688058745
BTDT_BostonBikes,Mattapan,383.52359375
BTDT_BostonBikes,Mission Hill,400.14476388888886
BTDT_BostonBikes,Roslindale,175.91583564814815
BTDT_BostonBikes,Roxbury,403.51624053030304
BTDT_BostonBikes,South Boston,543.662561728395
BTDT_BostonBikes,South Boston / South Boston Waterfront,326.0026001409018
BTDT_BostonBikes,South End,214.7888482510288
BTDT_BostonBikes,Unknown,875.0822569444445
BTDT_BostonBikes,West Roxbury,23.28185763888889
BTDT_Broken Meter Complaints, ,17.040731837606838
BTDT_Broken Meter Complaints,Allston,61.72523148148148
BTDT_Broken Meter Complaints,Allston / Brighton,16.522740162037035
BTDT_Broken Meter Complaints,Back Bay,23.9459931344697
BTDT_Broken Meter Complaints,Beacon Hill,21.73749614197531
BTDT_Broken Meter Complaints,Boston,22.2553978978979
BTDT_Broken Meter Complaints,Charlestown,18.759282407407408
BTDT_Broken Meter Complaints,Downtown / Financial District,29.135255965099716
BTDT_Broken Meter Complaints,Fenway / Kenmore / Audubon Circle / Longwood,16.170739351851854
BTDT_Broken Meter Complaints,Mission Hill,13.557399691358023
BTDT_Broken Meter Complaints,Roxbury,410.5493865740741
BTDT_Broken Meter Complaints,South Boston / South Boston Waterfront,18.216514550264552
BTDT_Broken Meter Complaints,South End,14.889131944444443
BTDT_Broken Meter Complaints,Unknown,13.51947337962963
BTDT_Complaint Against BTD Employee, ,212.766875
BTDT_Complaint Against BTD Employee,Back Bay,7.22880787037037
BTDT_Complaint Against BTD Employee,South Boston / South Boston Waterfront,16.209155092592592
BTDT_Complaint Against BTD Employee,South End,0.009976851851851851
BTDT_District 01,Allston,3.1875347222222223
BTDT_District 01,Allston / Brighton,63.4523782051282
BTDT_District 01,Back Bay,3.723989197530864
BTDT_District 01,Boston,3.3379861111111113
BTDT_District 01,Brighton,113.28424272486772
BTDT_District 01,Charlestown,2.465034722222222
BTDT_District 01,Downtown / Financial District,28.033198302469135
BTDT_District 01,East Boston,64.17006754705525
BTDT_District 01,Fenway / Kenmore / Audubon Circle / Longwood,33.46345775462963
BTDT_District 01,Jamaica Plain,170.51311921296295
BTDT_District 01,Mission Hill,0.8344907407407407
BTDT_District 01,Roxbury,17.86187114197531
BTDT_District 02, ,4.761724537037037
BTDT_District 02,Beacon Hill,161.9238773148148
BTDT_District 02,Dorchester,5.543333333333333
BTDT_District 02,Downtown / Financial District,1.1140393518518519
BTDT_District 02,East Boston,291.15187962962966
BTDT_District 02,Greater Mattapan,41.56320023148148
BTDT_District 02,Hyde Park,40.433616217320264
BTDT_District 02,Jamaica Plain,54.06649382716049
BTDT_District 02,Mission Hill,1.3893229166666665
BTDT_District 02,Roslindale,57.31443033854167
BTDT_District 02,Roxbury,2.9910185185185183
BTDT_District 02,South Boston / South Boston Waterfront,9.946412037037037
BTDT_District 02,West Roxbury,54.833080512152776
BTDT_District 03,Back Bay,20.533239914021163
