year,source,case_count
2011,Citizens Connect App,3908
2011,Constituent Call,28146
2011,Employee Generated,17925
2011,Maximo Integration,120
2011,Self Service,8160
2011,Twitter,3
2012,Citizens Connect App,7505
2012,City Worker App,11294
2012,Constituent Call,55802
2012,Employee Generated,24509
2012,Maximo Integration,3424
2012,Self Service,15557
2012,Twitter,1
2013,Citizens Connect App,9711
2013,City Worker App,17556
2013,Constituent Call,77309
2013,Employee Generated,14486
2013,Maximo Integration,2369
2013,Self Service,21170
2013,Twitter,9
2014,Citizens Connect App,12802
2014,City Worker App,21082
2014,Constituent Call,76650
2014,Employee Generated,18226
2014,Maximo Integration,2196
2014,Self Service,16860
2014,Twitter,4
2015,Citizens Connect App,39774
2015,City Worker App,21625
2015,Constituent Call,113457
2015,Employee Generated,15062
2015,Maximo Integration,200
2015,Self Service,19879
2015,Twitter,86
2016,Citizens Connect App,77526
2016,City Worker App,21337
2016,Constituent Call,90914
2016,Employee Generated,15030
2016,Maximo Integration,9
2016,Self Service,10856
2016,Twitter,863
2017,Citizens Connect App,109437
2017,City Worker App,23846
2017,Constituent Call,96203
2017,Employee Generated,10731
2017,Maximo Integration,3
2017,Self Service,10492
2017,Twitter,557
2018,Citizens Connect App,116852
2018,City Worker App,27393
2018,Constituent Call,97129
2018,Employee Generated,10773
2018,Maximo Integration,3
2018,Self Service,10554
2018,Twitter,44
2019,Citizens Connect App,115262
2019,City Worker App,25394
2019,Constituent Call,97250
2019,Employee Generated,11333
2019,Maximo Integration,2
2019,Self Service,9751
2019,Twitter,30
2020,Citizens Connect App,110675
2020,City Worker App,28477
2020,Constituent Call,95661
2020,Employee Generated,6729
2020,Maximo Integration,1
2020,Self Service,9678
2020,Twitter,1
2021,Citizens Connect App,132830
2021,City Worker App,24495
2021,Constituent Call,100673
2021,Employee Generated,7123
2021,Maximo Integration,1
2021,Self Service,8662
2022,Citizens Connect App,140730
2022,City Worker App,24614
2022,Constituent Call,97520
2022,Employee Generated,5013
2022,Self Service,8756
2023,Citizens Connect App,141426
2023,City Worker App,30866
2023,Constituent Call,127651
2023,Employee Generated,4337
2023,Maximo Integration,3
2023,Self Service,8928
2024,Citizens Connect App,133458
2024,City Worker App,27576
2024,Constituent Call,83533
2024,Employee Generated,2702
2024,Maximo Integration,3
2024,Self Service,9792
